Freq.	V(rs)/V(inp)
2.34422881531990e-001	(1.16489933764584e+002dB,9.01115695151192e+001°)
2.39883291901947e-001	(1.16289938515586e+002dB,9.01090287618311e+001°)
2.45470891568501e-001	(1.16089943052906e+002dB,9.01065457827510e+001°)
2.51188643150956e-001	(1.15889947386051e+002dB,9.01041192420387e+001°)
2.57039578276884e-001	(1.15689951524309e+002dB,9.01017479128558e+001°)
2.63026799189536e-001	(1.15489955476338e+002dB,9.00994304785393e+001°)
2.69153480392689e-001	(1.15289959250573e+002dB,9.00971657227084e+001°)
2.75422870333815e-001	(1.15089962854946e+002dB,9.00949524990599e+001°)
2.81838293126443e-001	(1.14889966297251e+002dB,9.00927895492657e+001°)
2.88403150312658e-001	(1.14689969584432e+002dB,9.00906758078536e+001°)
2.95120922666636e-001	(1.14489972723898e+002dB,9.00886101065297e+001°)
3.01995172040199e-001	(1.14289975722016e+002dB,9.00865913592237e+001°)
3.09029543251357e-001	(1.14089978585352e+002dB,9.00846185166391e+001°)
3.16227766016835e-001	(1.13889981319654e+002dB,9.00826905201970e+001°)
3.23593656929626e-001	(1.13689983931148e+002dB,9.00808063544218e+001°)
3.31131121482589e-001	(1.13489986424918e+002dB,9.00789650141745e+001°)
3.38844156139200e-001	(1.13289988806498e+002dB,9.00771655173107e+001°)
3.46736850452529e-001	(1.13089991080896e+002dB,9.00754069385930e+001°)
3.54813389233573e-001	(1.12889993253175e+002dB,9.00736883323106e+001°)
3.63078054770098e-001	(1.12689995327462e+002dB,9.00720087638310e+001°)
3.71535229097170e-001	(1.12489997308443e+002dB,9.00703673907152e+001°)
3.80189396320558e-001	(1.12289999200395e+002dB,9.00687632918687e+001°)
3.89045144994277e-001	(1.12090001007060e+002dB,9.00671956469531e+001°)
3.98107170553494e-001	(1.11890002732552e+002dB,9.00656636219484e+001°)
4.07380277804109e-001	(1.11690004380429e+002dB,9.00641664113912e+001°)
4.16869383470332e-001	(1.11490005953936e+002dB,9.00627032177397e+001°)
4.26579518801589e-001	(1.11290007456734e+002dB,9.00612732521046e+001°)
4.36515832240162e-001	(1.11090008892002e+002dB,9.00598757713899e+001°)
4.46683592150959e-001	(1.10890010262599e+002dB,9.00585100390778e+001°)
4.57088189614871e-001	(1.10690011571505e+002dB,9.00571753085330e+001°)
4.67735141287194e-001	(1.10490012821473e+002dB,9.00558709022603e+001°)
4.78630092322634e-001	(1.10290014015368e+002dB,9.00545961099575e+001°)
4.89778819368442e-001	(1.10090015155317e+002dB,9.00533502504436e+001°)
5.01187233627268e-001	(1.09890016244017e+002dB,9.00521326936907e+001°)
5.12861383991360e-001	(1.09690017283728e+002dB,9.00509427554668e+001°)
5.24807460249768e-001	(1.09490018276669e+002dB,9.00497798374732e+001°)
5.37031796370248e-001	(1.09290019225005e+002dB,9.00486432930239e+001°)
5.49540873857620e-001	(1.09090020130692e+002dB,9.00475325532239e+001°)
5.62341325190344e-001	(1.08890020995352e+002dB,9.00464470026834e+001°)
5.75439937337152e-001	(1.08690021821386e+002dB,9.00453860827407e+001°)
5.88843655355584e-001	(1.08490022610035e+002dB,9.00443492187004e+001°)
6.02559586074352e-001	(1.08290023363320e+002dB,9.00433358723069e+001°)
6.16595001861477e-001	(1.08090024082658e+002dB,9.00423454968124e+001°)
6.30957344480188e-001	(1.07890024769623e+002dB,9.00413775610850e+001°)
6.45654229034650e-001	(1.07690025425755e+002dB,9.00404315859639e+001°)
6.60693448007590e-001	(1.07490026052112e+002dB,9.00395070279329e+001°)
6.76082975391976e-001	(1.07290026650515e+002dB,9.00386034198244e+001°)
6.91830970918930e-001	(1.07090027221956e+002dB,9.00377202741299e+001°)
7.07945784384132e-001	(1.06890027767588e+002dB,9.00368571396181e+001°)
7.24435960074984e-001	(1.06690028288850e+002dB,9.00360135294991e+001°)
7.41310241300911e-001	(1.06490028786478e+002dB,9.00351890256862e+001°)
